Source,Target,Weight
xiaohongshu,小红书,1
xiaohongshu,joined,1
xiaohongshu,1/19,1
xiaohongshu,function,1
xiaohongshu,soon,1
xiaohongshu,little,1
xiaohongshu,note/,1
xiaohongshu,wan,1
xiaohongshu,空间,1
xiaohongshu,chiense,1
xiaohongshu,new,1
xiaohongshu,migrate,1
xiaohongshu,today,1
slang,call,1
slang,similar,1
slang,mandarin,1
slang,俚语,1
slang,teach,1
slang,us,1
slang,english,1
slang,英文,1
slang,带上,1
call,chanel,1
call,nelly,1
call,eddie,1
call,hope,1
call,maleficent-,1
call,mal,1
call,china,1
call,alex,1
call,1/24,1
call,japenese,2
call,recipe,1
call,风暴,1
call,guys,1
call,cassandra,1
cars,letter,1
letter,r,1
r,right,1
r,字母,1
r,键盘,1
r,哒,1
r,想法,1
right,next,1
right,one,1
right,vanilla,1
right,boston,1
next,keyboards,1
next,19:00-1:00,1
next,day,3
next,6:00-12:00,1
next,16:00-22:00,1
next,china,1
next,year,1
keyboards,common,1
common,spelling,1
spelling,error,1
error,many,1
many,started,1
many,respectful,1
many,contexts,1
many,considering,1
many,rednote,1
many,see,1
many,foreigners,1
many,見,1
many,名詞,1
many,edit,1
many,enough,1
many,messages,1
many,lives,1
many,young,1
many,time,1
many,foinee,1
many,healing,1
many,ways,1
many,online,1
many,vocabulary,1
many,refugees,1
many,saying,1
many,arcane,1
many,kdramas,1
many,know,1
many,ppl,1
many,met,1
many,since,1
many,travelling,1
many,others,1
many,among,1
many,many,1
started,purpose,1
started,xiaojongshu,1
started,trend,1
started,know,1
started,tiktokrefugee,1
purpose,since,1
since,noise,1
since,well,1
since,speak,1
since,plan,1
since,rednote,1
since,tiktok,1
since,app,1
since,good,1
since,people,1
since,hello,1
since,joined,1
since,refugees,1
since,trying,1
makes,similar,1
makes,hope,1
makes,sense,1
similar,car,1
similar,engine,1
similar,share,1
similar,content,1
car,engine,1
mandarin,thanks,1
mandarin,excuse,1
mandarin,heavily,1
mandarin,learn,1
mandarin,good,1
mandarin,name,1
mandarin,practice,1
mandarin,thank,1
mandarin,speak,1
mandarin,learned,1
mandarin,yet,1
mandarin,know,1
mandarin,used,1
mandarin,europe,1
mandarin,learning,1
mandarin,school,1
thanks,猫,1
thanks,letting,1
thanks,reading,1
thanks,review,1
thanks,patience,1
thanks,唯一性,1
thanks,trump,1
猫,可爱,1
猫,做,1
猫,发出,1
猫,谢谢,1
猫,猫,1
猫,罐头,3
猫,税,2
猫,喜欢,1
猫,我来,1
猫,一张,1
猫,狗,1
猫,dog,1
猫,您好,1
猫,治愈,1
猫,交了,1
猫,分享,1
猫,外国人,1
猫,展示,1
猫,宠物,1
猫,支付,1
猫,爱,1
猫,名字,1
猫,新手,1
猫,想,1
猫,大扫除,1
猫,围着,1
猫,打转,2
猫,逾期,1
猫,流浪,2
猫,cattax,1
猫,晒,1
猫,tiktokrefugee,1
猫,充满,1
猫,美味,1
猫,cat_tax,1
猫,抓到,1
猫,牛奶,1
猫,spn,1
猫,mishacollins,1
猫,手工,1
猫,showmeyourcats,1
猫,请收,1
猫,第二只,1
猫,阿洛,1
猫,mittsy,1
猫,两只,1
猫,帐户,1
猫,一只,1
猫,三色,1
猫,angora,1
猫,吉普赛人,1
猫,真的,1
猫,heard,1
猫,刚刚,1
猫,几只,1
猫,左边,1
猫,橙色,1
猫,街,1
猫,健康,1
猫,应用程序,1
猫,，tex,1
猫,kitten,1
猫,赫本,1
猫,绕,1
猫,圆脸,1
猫,catmeme,1
猫,meme,1
猫,家,1
猫,日本,1
猫,孟加拉,1
猫,说,1
猫,小猫咪,1
猫,junimo，,1
猫,灰色,1
猫,agatha,1
猫,online,1
猫,gany。,1
猫,女孩,2
猫,家中,2
猫,早点,1
猫,mio,1
猫,okay,1
猫,approved,1
猫,奶奶,2
猫,缴纳,1
猫,tiktok,1
猫,退税,1
猫,想法,1
猫,马萨诸塞州,1
猫,波士顿,1
猫,（sparks、morris,1
猫,萌宠,1
猫,！！,1
猫,杰瑞,1
猫,我想发,1
猫,奇怪,1
猫,幸好,1
猫,抱歉,1
猫,电影,1
猫,tiktokrefuge,1
可爱,美国,1
可爱,中,1
可爱,恶魔,1
可爱,拒绝,1
可爱,好像,1
可爱,可爱,1
可爱,女孩,1
可爱,太,1
可爱,受害者,1
可爱,老虎,1
可爱,cattax,1
可爱,动物,1
可爱,有趣,1
可爱,发现,1
可爱,翻译,1
美国,喜欢,1
美国,文化,1
美国,涌入,1
美国,笑话,1
美国,俚语,1
美国,爱,1
美国,🇺🇸,1
美国,一名,1
美国,新会员,1
美国,新,1
美国,抖音,1
美国,american,1
美国,texas,1
美国,anything,1
美国,colorado,1
美国,展示,1
美国,时,1
美国,foreigner,1
美国,03,1
美国,外国人,1
美国,我想教,1
美国,年轻人,1
美国,英语,1
美国,学校,1
美国,问,1
美国,确实,1
美国,隐藏,1
美国,证件,1
美国,护照,1
美国,学生,1
美国,理解,2
美国,居住,1
美国,犹他州,1
美国,你们好,1
美国,俄美,1
美国,12:00）🌆,1
美国,旧金山,1
美国,禁,2
美国,离开,1
美国,应用程序,1
美国,达,1
美国,难民,1
美国,名字,1
美国,用户,1
美国,tiktok,1
美国,丈夫,1
美国,生活,1
美国,早上好,1
美国,凌晨,1
美国,julie，,1
美国,出生,1
美国,07,1
美国,tiktokrefugee,1
美国,白人,1
美国,博主早,1
美国,来到,1
美国,更好,1
美国,tt,2
美国,一位,1
美国,赛道,2
美国,做,1
美国,孵化,1
美国,网红们,1
美国,美国,1
美国,17,1
美国,懂,2
美国,优势,1
美国,20,1
美国,有没有,1
美国,人想,1
美国,陌生人,1
美国,网络,1
美国,回应,1
美国,无家可归,1
美国,好奇心,1
美国,感觉,1
美国,受欢迎,1
美国,打开,1
美国,社交,1
美国,健康,1
美国,seeyouagain,1
美国,音乐,1
美国,常见,2
美国,同胞们,1
美国,取消,1
美国,斯拉,1
美国,德克萨斯州,1
美国,抱歉,1
美国,ttrefugee,1
美国,memory,1
美国,曼谷,1
美国,环境,1
美国,真的,1
美国,搬,1
美国,世界各地,1
美国,有太多,1
美国,震惊,1
美国,接受,1
美国,牛肉,1
美国,吸毒,1
美国,天堂,1
美国,世界,1
美国,言论,1
美国,情况,1
美国,全世界,1
美国,推特上,1
美国,封禁,1
美国,rednote,1
美国,成本,1
美国,分享,1
美国,结论,1
美国,人过,1
美国,怜悯,1
美国,不愿,1
